node_windows,valid_values,MAE,RMSE,bias,MAE@h3,MAE@h6,MAE@h12,county,model,factor,value,scope,result_dir,STID_MAE,STID_RMSE,STID_bias,STID_MAE@h3,STID_MAE@h6,STID_MAE@h12,delta_vs_STID_MAE,delta_vs_STID_RMSE,delta_vs_STID_bias,delta_vs_STID_MAE@h3,delta_vs_STID_MAE@h6,delta_vs_STID_MAE@h12
1190,13580,13.485644773390577,23.472337408445657,4.167031852767113,12.322517563513227,13.23636520183192,15.842386608225414,LosAngeles,STID,impact_direction,drop,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,13.485644773390577,23.472337408445657,4.167031852767113,12.322517563513227,13.23636520183192,15.842386608225414,0.0,0.0,0.0,0.0,0.0,0.0
1309,15274,14.542808238008625,29.09728748763311,-6.40688471977071,12.406310999253217,15.13837297888982,16.765166703414614,LosAngeles,STID,impact_direction,rise,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,14.542808238008625,29.09728748763311,-6.40688471977071,12.406310999253217,15.13837297888982,16.765166703414614,0.0,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,LosAngeles,STID,impact_threshold,q50=1.7500;q75=8.9167,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,,,,,,,,,,,,
5316,49917,11.62284594315602,21.33611348237869,0.17565439536307517,10.765310621753182,11.720189968000035,12.831436926793868,LosAngeles,STIDAccident,incident_type,1141,future_any,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,11.569666382431409,21.23699623810277,-0.17497688833140748,10.665207029903744,11.695028023145658,12.712374297808497,0.05317956072461172,0.09911724427592006,0.35063128369448265,0.10010359184943773,0.025161944854376728,0.11906262898537179
5330,49828,11.631190673051528,22.05049291975179,-1.5404735775565015,10.649567413881336,11.6665719993312,13.054167578823595,LosAngeles,STIDAccident,incident_type,1141,history_any,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,11.663651696271208,21.988903931676624,-1.5845877454552058,10.705132709532574,11.743563532599595,13.070188567379871,-0.03246102321968003,0.06158898807516522,0.04411416789870426,-0.055565295651238245,-0.07699153326839436,-0.016020988556276095
849,7947,11.033160496106069,19.76062042401202,-0.38102269751689294,9.95796683191712,11.383087813310711,12.29300328518482,LosAngeles,STIDAccident,incident_type,1141,post_last_slot,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,11.113490803460438,19.765939667688784,-0.3255186607751574,10.158495223468082,11.34887787491355,12.345337215527938,-0.08033030735436952,-0.005319243676762397,-0.05550403674173554,-0.2005283915509608,0.034209938397161466,-0.052333930343117174
472,4276,10.662351522633024,19.19264451467135,-0.40227307372276083,9.812119019064731,11.334920477934666,11.687229167362224,LosAngeles,STIDAccident,incident_type,1141,ongoing,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,10.782983868226925,19.27775184693205,-0.3732733124321705,9.995326708950373,11.264496195417626,11.762438358404697,-0.12063234559390068,-0.08510733226069789,-0.028999761290590342,-0.1832076898856414,0.07042428251704003,-0.07520919104247348
16261,159562,12.805436616823638,22.916100357407462,-0.6708528810321961,11.76314591532449,12.829794579885455,14.486286167631075,LosAngeles,STIDAccident,incident_type,NoInj,future_any,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,12.786399346044881,22.928879643986615,-1.0539592274767091,11.75036673403364,12.793038624473551,14.475797071130033,0.01903727077875672,-0.012779286579153393,0.383106346444513,0.012779181290849095,0.036755955411903685,0.010489096501041573
16224,159429,13.204277741891755,25.905084592329132,-0.5791979150403794,12.195844163777661,13.188287722348198,14.731942140992341,LosAngeles,STIDAccident,incident_type,NoInj,history_any,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,13.104959951804565,25.717831010816518,-0.7068166080830388,12.10291079379567,13.108345158684237,14.607025802418166,0.09931779008718955,0.18725358151261418,0.12761869304265938,0.09293336998199031,0.0799425636639608,0.12491633857417561
2603,25468,13.243320874147818,25.271729772743246,-1.1370363457153858,12.498321454030163,12.71318947887241,15.060341651830296,LosAngeles,STIDAccident,incident_type,NoInj,post_last_slot,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,13.112712264117143,25.207435142676925,-1.257298120097536,12.398312120617561,12.556689111526403,15.02413637624622,0.13060861003067537,0.06429463006632119,0.12026177438215013,0.10000933341260243,0.15650036734600725,0.03620527558407538
1545,15050,13.880661998001047,25.537561337328906,-1.6227604708243841,12.68825546228115,13.250135111960637,16.195164250034654,LosAngeles,STIDAccident,incident_type,NoInj,ongoing,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,13.734697373602478,25.28974948478807,-1.550536026812075,12.529214814864247,13.111509432458574,16.086248227473842,0.1459646243985695,0.24781185254083482,-0.07222444401230921,0.15904064741690327,0.13862567950206284,0.10891602256081256
13829,134091,11.381705217513437,21.34280170746113,-0.3147684329103216,10.496115496982336,11.406040599880342,12.650415972075296,LosAngeles,STIDAccident,incident_type,UnknInj,future_any,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,11.331978967786124,21.303138985752057,-0.7899679654257504,10.406267936721559,11.332967918603524,12.641715709717015,0.04972624972731232,0.03966272170907459,0.47519953251542885,0.08984756026077712,0.07307268127681787,0.008700262358280142
13812,133707,11.86302144602666,24.797279066187595,-0.5857991921959388,10.990775417843011,11.864243974295436,13.278210629846413,LosAngeles,STIDAccident,incident_type,UnknInj,history_any,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,11.723640203438507,24.536206966322506,-0.8349774725052522,10.844916386901664,11.748512219458455,13.09580257642584,0.1393812425881542,0.26107209986508906,0.24917828030931344,0.145859030941347,0.11573175483698073,0.18240805342057342
