county,method,horizon,mae
ContraCosta,impact_score_gated_ridge_q75,6,17.516397183130625
ContraCosta,impact_score_gated_ridge_q75,7,19.24443281417314
ContraCosta,impact_score_gated_ridge_q75,8,20.119063806695024
ContraCosta,impact_score_gated_ridge_q75,9,21.30817453813599
ContraCosta,impact_score_gated_ridge_q75,10,21.086570261639675
ContraCosta,impact_score_gated_ridge_q75,11,21.228661093003574
ContraCosta,impact_score_gated_ridge_q75,12,21.92688652416134
ContraCosta,high_impact_train_gated_ridge_q75,1,11.669941931820738
ContraCosta,high_impact_train_gated_ridge_q75,2,13.984025494781731
ContraCosta,high_impact_train_gated_ridge_q75,3,14.887970576531496
ContraCosta,high_impact_train_gated_ridge_q75,4,16.220770849684776
ContraCosta,high_impact_train_gated_ridge_q75,5,18.859007062258968
ContraCosta,high_impact_train_gated_ridge_q75,6,17.598927371249776
ContraCosta,high_impact_train_gated_ridge_q75,7,19.376792622948344
ContraCosta,high_impact_train_gated_ridge_q75,8,20.16068325022296
ContraCosta,high_impact_train_gated_ridge_q75,9,21.372836038571197
ContraCosta,high_impact_train_gated_ridge_q75,10,21.08561108224692
ContraCosta,high_impact_train_gated_ridge_q75,11,21.32016125959545
ContraCosta,high_impact_train_gated_ridge_q75,12,22.344172074328785
ContraCosta,county_specific_ridge_residual_expert,1,12.522017257599902
ContraCosta,county_specific_ridge_residual_expert,2,15.655921073767495
ContraCosta,county_specific_ridge_residual_expert,3,17.416933506435257
ContraCosta,county_specific_ridge_residual_expert,4,19.265600437011038
ContraCosta,county_specific_ridge_residual_expert,5,21.430597449423036
ContraCosta,county_specific_ridge_residual_expert,6,19.773567833234207
ContraCosta,county_specific_ridge_residual_expert,7,22.165620771782525
ContraCosta,county_specific_ridge_residual_expert,8,23.27407890748683
ContraCosta,county_specific_ridge_residual_expert,9,24.228007530306588
ContraCosta,county_specific_ridge_residual_expert,10,25.198686511575055
ContraCosta,county_specific_ridge_residual_expert,11,24.57935231084029
ContraCosta,county_specific_ridge_residual_expert,12,25.61946206420427
